name,landcover,croptype,ec_code
Grapefruit & pomelo,12,3210,12-01-03-001-0
Lemons & Limes,12,3220,12-01-03-003-0
Oranges,12,3230,12-01-03-004-0
"Tangerines, mandarins",12,3240,12-01-03-005-0
Other citrus fruit,12,3290,12-01-03-000-0
Grapes,12,3300,12-01-00-001-0
Berries,12,3400,12-01-05-000-0
Currants,12,3410,12-01-05-006-0
Gooseberries,12,3420,12-01-05-007-0
Kiwi fruit,12,3430,12-01-05-015-0
Raspberries,12,3440,12-01-05-010-0
Strawberries,12,3450,11-03-12-001-0
Blueberries,12,3460,12-01-05-004-0
Other berries,12,3490,12-01-05-000-0
Pome fruits and stone fruits,12,3500,12-01-01-000-0
Apples,12,3510,12-01-01-002-0
Apricots,12,3520,12-01-01-003-0
Cherries & sour cherries,12,3530,12-01-01-004-0
Peaches & nectarines,12,3540,12-01-01-010-0
Pears & quinces,12,3550,12-01-01-011-0
Plums and sloes,12,3560,12-01-01-012-0
Other pome fruits and stone fruits,12,3590,12-01-01-000-0
Nuts,12,3600,12-01-04-000-0
Almonds,12,3610,12-01-04-001-0
Cashew nuts,12,3620,12-01-04-007-0
Chestnuts,12,3630,12-01-04-005-0
Hazelnuts,12,3640,12-01-04-002-0
Pistachios,12,3650,12-01-04-004-0
Walnuts,12,3660,12-01-04-006-0
Other nuts,12,3690,12-01-04-000-0
Other fruit,12,3900,12-01-00-000-0
Oilseed crops,10,4000,11-06-00-000-0
Soya beans,11,4100,11-06-00-002-0
Groundnuts,11,4200,11-06-00-005-0
Temporary oilseed crops,11,4300,11-06-00-000-0
Castor bean,11,4310,11-06-00-006-0
Linseed,11,4320,11-06-00-007-0
Mustard,11,4330,11-06-00-008-0
Niger seed,11,4340,11-06-00-004-0
Rapeseed,11,4350,11-06-00-003-0
Winter rapeseed,11,4351,11-06-00-003-1
Spring rapeseed,11,4352,11-06-00-003-2
Safflower,11,4360,11-06-00-009-0
Sesame,11,4370,11-06-00-010-0
Sunflower,11,4380,11-06-00-001-0
Other temporary oilseed crops,11,4390,11-06-00-000-0
Permanent oilseed crops,12,4400,12-03-00-000-0
Coconuts,12,4410,12-03-00-002-0
Olives,12,4420,12-03-00-001-0
